iter	Passed	Remaining
0	1	100
1	1	96
2	2	88
3	3	81
4	4	81
5	6	100
6	7	102
7	8	96
8	9	92
9	9	88
10	10	87
11	11	84
12	12	84
13	13	83
14	14	82
15	15	80
16	16	79
17	17	81
18	19	82
19	20	80
20	20	78
21	21	76
22	22	74
23	23	73
24	23	71
25	24	70
26	25	68
27	26	67
28	27	66
29	27	65
30	29	65
31	31	66
32	31	64
33	32	63
34	33	61
35	34	60
36	35	59
37	35	58
38	36	56
39	37	55
40	38	54
41	38	52
42	39	51
43	39	50
44	41	50
45	42	50
46	43	49
47	44	48
48	45	47
49	45	45
50	46	45
51	47	44
52	48	43
53	49	42
54	50	40
55	50	39
56	51	39
57	52	38
58	53	37
59	55	37
60	56	36
61	57	35
62	58	34
63	58	33
64	59	31
65	59	30
66	60	29
67	61	29
68	62	28
69	63	27
70	63	26
71	64	25
72	65	24
73	66	23
74	68	22
75	69	21
76	69	20
77	70	19
78	71	18
79	71	17
80	72	17
81	73	16
82	74	15
83	75	14
84	75	13
85	76	12
86	77	11
87	98	13
88	102	12
89	103	11
90	107	10
91	108	9
92	111	8
93	112	7
94	116	6
95	118	4
96	120	3
97	121	2
98	122	1
99	123	0
